address,establishment,lon,lat
"Aleja Solidarności 77, Warszawa","Biuro Rzecznika Praw Obywatelskich,",21.003107,52.244554
"ul. Długa 23/25, Warszawa","Biuro Rzecznika Praw Obywatelskich,",21.0055281,52.2473703
"ul. Elektoralna 2, Warszawa","Główny Urząd Miar,",21.0010419,52.241633
"ul. Postępu 5, Warszawa","Główny Urząd Miar,",20.9931785,52.1744032
"ul. Grzybowska 45, Warszawa","Agencja Rezerw Materiałowych,",20.9903133,52.23442379999999
"Wspólna 2, Warszawa","Rada Ochrony Pamięci Walk i Męczeństwa,",21.1823651,52.24550379999999
"ul. Koszykowa 16, Warszawa","Urząd do Spraw Repatriacji i Cudzoziemców,",21.0214696,52.2215087
"ul. Taborowa 33, Warszawa","Urząd do Spraw Repatriacji i Cudzoziemców,",20.9957909,52.165121
"ul. Wspólna 30, Warszawa","Główny Inspektorat Weterynarii,",21.1907462,52.2472974
"Al. Niepodległości 190, Warszawa","Kasa Rolniczego Ubezpieczenia Społecznego,",21.0076866,52.21170009999999
"ul. Grójecka 186, Warszawa","Kasa Rolniczego Ubezpieczenia Społecznego,",20.9671611,52.2015608
"Al. Ujazdowskie 9, Warszawa","Centralne Biuro Antykorupcyjne,",21.0246777,52.21742190000001
"ul. Poleczki 3, Warszawa","Centralne Biuro Antykorupcyjne,",21.0163378,52.1526378
"ul. Filtrowa 57, Warszawa","Najwyższa Izba Kontroli,",20.9991683,52.2184053
"ul. Wawelska 11, Warszawa","Najwyższa Izba Kontroli,",20.9858901,52.2160652
"ul. Stefana Batorego 5, Warszawa","Ministerstwo Spraw Wewnętrznych i Administracji,",21.0166097,52.2114487
"ul. Rakowiecka 2a, Warszawa","Ministerstwo Spraw Wewnętrznych i Administracji,",21.018222,52.20975050000001
"Karolkowa 30, Warszawa","Agencja Rynku Rolnego,",20.9779562,52.2316915
"Pałac Kultury i Nauki, Plac Defilad 1, Warszawa","Polska Agencja Rozwoju Przedsiębiorczości,",21.005995,52.231838
"ul. Pańska 81/83, Warszawa","Polska Agencja Rozwoju Przedsiębiorczości,",20.9911714,52.2308262
"ul. Puławska 148/150, Warszawa","Komenda Główna Policji,",21.023808,52.187883
"ul. Domaniewska 36/38, Warszawa","Komenda Główna Policji,",21.0062852,52.1836268
"al. Niepodległości 100, Warszawa","Komenda Główna Straży Granicznej,",21.0126273,52.1996757
"ul. Krakowskie Przedmieście 15/17, Warszawa","Ministerstwo Kultury i Dziedzictwa Narodowego,",21.0136824,52.2424938
"ul. Ksawerów 13, Warszawa","Ministerstwo Kultury i Dziedzictwa Narodowego,",21.0202297,52.186608
"Plac Krasińskich 2/4/6, Warszawa","Sąd Najwyższy,",21.0051864,52.2498539
"Al. J. Ch. Szucha 25, Warszawa","Ministerstwo Edukacji Narodowej,",21.023511,52.21745689999999
"Al. Jana Pawła II 70, Warszawa","Agencja Restrukturyzacji i Modernizacji Rolnictwa,",20.9874913,52.2498201
"ul. Poleczki 33, Warszawa","Agencja Restrukturyzacji i Modernizacji Rolnictwa,",20.998436,52.1557211
"ul. Wronia 53, Warszawa","Generalna Dyrekcja Dróg Krajowych i Autostrad,",20.9840098,52.237082
"ul. Żelazna 59, Warszawa","Generalna Dyrekcja Dróg Krajowych i Autostrad,",20.9909675,52.233805
"ul. Podchorążych 38, Warszawa","Biuro Ochrony Rządu,",21.0395864,52.20983690000001
"ul. Wiejska 4/6/8, Warszawa","Kancelaria Sejmu RP,",21.0275973,52.22468689999999
"Krucza 38/42, Warszawa","Główny Urząd Nadzoru Budowlanego,",21.01747,52.22929
"Al. Jerozolimskie 181C, Warszawa","Urząd Rejestracji Produktów Leczniczych, Wyrobów Medycznych i Produktów Biobójczych,",20.952381,52.2096149
"ul. Ząbkowska 41, Warszawa","Urząd Rejestracji Produktów Leczniczych, Wyrobów Medycznych i Produktów Biobójczych,",21.0482614,52.255333
"ul. Giełdowa 7/9, Warszawa","Urząd Komunikacji Elektronicznej,",20.9747712,52.230304
"ul. Wspólna 2, Warszawa","Główny Urząd Geodezji i Kartografii,",21.1823651,52.24550379999999
"Pałac Kultury i Nauki, Plac Defilad 1, Warszawa","Polska Akademia Nauk,",21.005995,52.231838
"ul. Nowy Świat 72, Warszawa","Polska Akademia Nauk,",21.017891,52.2377194
"Al. Ujazdowskie 11, Warszawa","Ministerstwo Sprawiedliwości,",21.0241261,52.2206201
"ul. Czerniakowska 100, Warszawa","Ministerstwo Sprawiedliwości,",21.0485809,52.2135305
"ul. Wspólna 1/3, Warszawa","Ministerstwo Nauki i Szkolnictwa Wyższego,",21.1846334,52.2468472
"ul. Hoża 20, Warszawa","Ministerstwo Nauki i Szkolnictwa Wyższego,",21.0198471,52.2276152
"ul. Krucza 36/Wspólna 6, Warszawa","Ministerstwo Skarbu Państwa,",21.0181909,52.2283182
"ul. Świętokrzyska 12, Warszawa","Ministerstwo Skarbu Państwa,",21.0159144,52.2377427
"ul. Rakowiecka 2A, Warszawa","Agencja Bezpieczeństwa Wewnętrznego,",21.018222,52.20975050000001
"Al. Niepodległości 208, Warszawa","Agencja Bezpieczeństwa Wewnętrznego,",21.0059449,52.2168606
"ul. Konstruktorska 3A, Warszawa","Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej,",21.0005866,52.1853404
"ul. Krucza 5/11D, Warszawa","Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej,",21.018236,52.224628
"ul. Wiejska 10, Warszawa","Państwowa Komisja Wyborcza,",21.0263867,52.2261624
"ul. Nowogrodzka 25, Warszawa","Państwowa Komisja Wyborcza,",21.0145689,52.22917589999999
"Plac Powstańców Warszawy 1, Warszawa","Komisja Nadzoru Finansowego,",21.0143023,52.2336926
"ul. Piękna 20, Warszawa","Komisja Nadzoru Finansowego,",21.0189986,52.2238857
"Aleje Jerozolimskie 134, Warszawa","Urząd Transportu Kolejowego,",20.973617,52.22118889999999
"ul. Krucza 36, Warszawa","Państwowa Agencja Atomistyki,",21.0181567,52.22848159999999
"ul. Nowogrodzka 1/3/5, Warszawa","Ministerstwo Pracy i Polityki Społecznej,",21.0193438,52.2301418
"ul. Marszałkowska 1, Warszawa","Ministerstwo Pracy i Polityki Społecznej,",21.0209562,52.2142918
"ul. Grójecka 127, Warszawa","Państwowe Gospodarstwo Leśne „Lasy Państwowe”,",20.9678574,52.2001101
"ul. Bitwy Warszawskiej 1920 r. nr 3, Warszawa","Państwowe Gospodarstwo Leśne „Lasy Państwowe”,",20.9736625,52.2117066
"ul. Świętokrzyska 12, Warszawa","Ministerstwo Finansów,",21.0159144,52.2377427
"ul. Królewska 27, Warszawa","Ministerstwo Finansów,",21.0091446,52.23867180000001
"Szamocka 3, 5, Warszawa","Zakład Ubezpieczeń Społecznych,",20.959764,52.256725
"Senatorska 6/8, Warszawa","Zakład Ubezpieczeń Społecznych,",21.0114095,52.2457362
"Al. Jerozolimskie 181, Warszawa","Urząd Regulacji Energetyki,",20.9519066,52.210499
"Chłodna 64, Warszawa","Urząd Regulacji Energetyki,",20.981994,52.2361115
"Al. Ujazdowskie 1/3, Warszawa","Kancelaria Prezesa Rady Ministrów,",21.0255122,52.215811
"Al. J. Ch. Szucha 14, Warszawa","Kancelaria Prezesa Rady Ministrów,",21.0237621,52.2165855
"ul. Postępu 17A, Warszawa","Urząd Zamówień Publicznych,",20.9971049,52.1809577
"ul. Żurawia 32/34, Warszawa","Urząd Zamówień Publicznych,",21.0138245,52.2283738
"ul. Grójecka 186, Warszawa","Wojskowa Agencja Mieszkaniowa,",20.9671611,52.2015608
"ul. Chałubińskiego 3B, Warszawa","Wojskowa Agencja Mieszkaniowa,",21.0026916,52.22457439999999
"al. Szucha 12a, Warszawa","Trybunał Konstytucyjny,",21.0240457,52.2156539
"Al. J. Ch. Szucha 23, Warszawa","Ministerstwo Spraw Zagranicznych,",21.0233324,52.21713949999999
"ul. Krucza 38/42, Warszawa","Ministerstwo Spraw Zagranicznych,",21.01747,52.22929
"ul. Nowowiejska 26A, Warszawa","Agencja Mienia Wojskowego,",21.0024212,52.22055539999999
"ul. Chałubińskiego 3A, Warszawa","Agencja Mienia Wojskowego,",21.003559,52.22419900000001
"ul. Inflancka 4, Warszawa","Agencja Nieruchomości Rolnych,",20.9931306,52.2559594
"ul. Czerniakowska 124, Warszawa","Agencja Nieruchomości Rolnych,",21.0464838,52.21642139999999
"ul. Stawki 2, Warszawa","Generalny Inspektor Ochrony Danych Osobowych,",20.996498,52.253843
"pl. Powstańców Warszawy 1, Warszawa","Urząd Ochrony Konkurencji i Konsumentów,",21.0143023,52.2336926
"ul. Nowogrodzka 1/3/5, Warszawa","Urząd Ochrony Konkurencji i Konsumentów,",21.0193438,52.2301418
"Skwer Kardynała Stefana Wyszyńskiego 9, Warszawa","Krajowa Rada Radiofonii i Telewizji,",20.9822578,52.2401066
"ul. Sobieskiego 101, Warszawa","Krajowa Rada Radiofonii i Telewizji,",21.0373796,52.1985199
"Aleje Ujazdowskie 1/3, Warszawa","Rządowe Centrum Legislacji,",21.0255122,52.215811
"Krucza 36/Wspólna 6, Warszawa","Rządowe Centrum Legislacji,",21.0181909,52.2283182
"ul. Szczęśliwicka 34, Warszawa","Urząd Dozoru Technicznego,",20.9723437,52.2186979
"ul. Puławska 469, Warszawa","Urząd Dozoru Technicznego,",21.0188387,52.1357004
"ul. Barska 28/30, Warszawa","Państwowa Inspekcja Pracy,",20.9770092,52.2191073
"ul. Lindleya 16, Warszawa","Państwowa Inspekcja Pracy,",20.9963842,52.2260524
"Al. Jana Pawła II 13, Warszawa","Państwowy Fundusz Rehabilitacji Osób Niepełnosprawnych,",20.9985618,52.2320289
"Al. Jana Pawła II 11, Warszawa","Państwowy Fundusz Rehabilitacji Osób Niepełnosprawnych,",20.9988112,52.2316837
"Al. Niepodległości 218, Warszawa","Ministerstwo Obrony Narodowej,",21.005716,52.219398
"ul. Klonowa 1, Warszawa","Ministerstwo Obrony Narodowej,",21.0247348,52.21236469999999
"ul. Nowowiejska 28a, Warszawa","Ministerstwo Obrony Narodowej,",21.0017466,52.2205282
"ul. Klobucka 23A, Warszawa","Polskie Centrum Badań i Certyfikacji,",20.9918386,52.1678326
"Plac Trzech Krzyży 3/5, Warszawa","Ministerstwo Gospodarki,",21.0216917,52.2285192
"ul. Wspólna 6, Warszawa","Ministerstwo Gospodarki,",21.1846006,52.246075
"ul. Senatorska 12, Warszawa","Główny Inspektorat Farmaceutyczny,",21.0104495,52.2454113
"ul. Świętokrzyska 11/21, Warszawa","Narodowy Bank Polski,",21.0155182,52.2358729
"ul. Traugutta 4, Warszawa","Narodowy Bank Polski,",21.0152472,52.2390972
"ul. Szańcowa 25, Warszawa","Polska Agencja Rozwiązywania Problemów Alkoholowych,",20.9319654,52.2396076
"ul. Wspólna 30, Warszawa","Ministerstwo Rolnictwa i Rozwoju Wsi,",21.1907462,52.2472974
"ul. Wspólna 30A, Warszawa","Ministerstwo Rolnictwa i Rozwoju Wsi,",21.1907462,52.2472974
"ul. Marcina Flisa 2, Warszawa","Urząd Lotnictwa Cywilnego,",20.952825,52.1909318
"ul. Miłobędzka 24, Warszawa","Agencja Wywiadu,",20.9927739,52.1965523
"ul. Wiejska 10, Warszawa","Kancelaria Prezydenta RP,",21.0263867,52.2261624
"ul. Krakowskie Przedmieście 46/48, Warszawa","Kancelaria Prezydenta RP,",21.016586,52.2431233
"ul. Podchorążych 38, Warszawa","Komenda Główna Państwowej Straży Pożarnej,",21.0395864,52.20983690000001
"ul. Domaniewska 36/38, Warszawa","Komenda Główna Państwowej Straży Pożarnej,",21.0062852,52.1836268
"ul. Senatorska 14, Warszawa","Ministerstwo Sportu i Turystyki,",21.0101848,52.2447384
"ul. Krucza 38/42, Warszawa","Ministerstwo Sportu i Turystyki,",21.01747,52.22929
"ul. Chałubińskiego 4/6, Warszawa","Ministerstwo Infrastruktury,",21.0047986,52.2237328
"ul. Tytusa Chałubińskiego 8, Warszawa","Ministerstwo Infrastruktury,",21.00398,52.226026
"Wiejska 6, Warszawa","Kancelaria Senatu RP,",20.9044346,52.19133249999999
"ul. Szczotkarska 42, Warszawa","Polskie Centrum Akredytacji,",20.9162695,52.22289900000001
"ul. Wieżowa 8, Warszawa","Polska Agencja Żeglugi Powietrznej,",20.9590584,52.1619226
"ul. Chocimska 6, Warszawa","Biuro Rzecznika Praw Dziecka,",21.0240132,52.2083794
"Rakowiecka 2D, Warszawa","Naczelna Dyrekcja Archiwów Państwowych,",21.0152633,52.210704
"ul. Chałubińskiego 8, Warszawa","Polska Organizacja Turystyczna,",21.00398,52.226026
"ul. Wspólna 2/4, Warszawa","Ministerstwo Rozwoju Regionalnego,",21.1810758,52.2454083
"ul. Chałubińskiego 4/6, Warszawa","Ministerstwo Rozwoju Regionalnego,",21.0047986,52.2237328
"ul. Wawelska 52/54, Warszawa","Ministerstwo Środowiska,",20.99128,52.2167629
"ul. Krucza 5/11, Warszawa","Ministerstwo Środowiska,",21.0191113,52.2245234
"Gabriela Piotra Boduena 3/5, Warszawa","Naczelny Sąd Administracyjny,",21.0128449,52.23361149999999
"Jasna 6, Warszawa","Naczelny Sąd Administracyjny,",21.0124322,52.2338202
"ul. Wspólna 30, Warszawa","Inspekcja Jakości Handlowej Artykułów Rolno-Spożywczych,",21.1907462,52.2472974
"al. Niepodległości 208, Warszawa","Główny Urząd Statystyczny,",21.0059449,52.2168606
"ul. Wspólna 2, Warszawa","Główny Urząd Statystyczny,",21.1823651,52.24550379999999
"ul. Wołoska 7, Warszawa","Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni Przeciwko Narodowi Polskiemu,",21.0009496,52.1821192
"ul. Towarowa 28, Warszawa","Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni Przeciwko Narodowi Polskiemu,",20.9846076,52.23143400000001
"ul. Świętokrzyska 12, Warszawa","Służba Celna Rzeczypospolitej Polskiej,",21.0159144,52.2377427
"ul. Erazma Ciołka 14A, Warszawa","Służba Celna Rzeczypospolitej Polskiej,",20.945764,52.24308019999999
"Wspólna 2/4, Warszawa","Urząd do Spraw Kombatantów i Osób Represjonowanych,",21.020316,52.2286853
"ul. Targowa 65, Warszawa","Główny Inspektorat Sanitarny,",21.035787,52.25324
"ul. Długa 38/40, Warszawa","Główny Inspektorat Sanitarny,",21.0039553,52.2471153
"ul. Wawelska 52/54, Warszawa","Główny Inspektorat Ochrony Środowiska,",20.99128,52.2167629
"ul. Bitwy Warszawskiej 1920 r. nr 3, Warszawa","Główny Inspektorat Ochrony Środowiska,",20.9736625,52.2117066
"ul. Grójecka 186, Warszawa","Narodowy Fundusz Zdrowia,",20.9671611,52.2015608
"ul. Chałubińskiego 8, Warszawa","Narodowy Fundusz Zdrowia,",21.00398,52.226026
"ul. Karowa 10, Warszawa","Biuro Bezpieczeństwa Narodowego,",21.0187113,52.2436144
"ul. Królewska 1/7, Warszawa","Biuro Bezpieczeństwa Narodowego,",21.0146849,52.2404145
"Al. Niepodległości 188/192, Warszawa","Urząd Patentowy Rzeczypospolitej Polskiej,",21.0072166,52.2124657
"ul. Prosta 69, Warszawa","Główny Inspektorat Transportu Drogowego,",20.9830269,52.2292122
"ul. Przyczółkowa 109A, Warszawa","Główny Inspektorat Transportu Drogowego,",21.0995077,52.1315631
"Plac Trzech Krzyży 3/5, Warszawa","Urząd Komitetu Integracji Europejskiej,",21.0216917,52.2285192
"Al. Ujazdowskie 9, Warszawa","Urząd Komitetu Integracji Europejskiej,",21.0246777,52.21742190000001
"ul. Świętokrzyska 14, Warszawa","Polski Komitet Normalizacyjny,",21.014484,52.23667769999999
"ul. Miodowa 15, Warszawa","Ministerstwo Zdrowia,",21.008942,52.2473831
"ul. Długa 38/40, Warszawa","Ministerstwo Zdrowia,",21.0039553,52.2471153
